epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,1.2487740516662598,0.7701330780982971,0.060523442924022675,0.22277335822582245
1,0.0010000000474974513,0.37161755561828613,0.48254409432411194,0.007307324092835188,0.06640167534351349
2,0.0010000000474974513,0.24298302829265594,0.39118868112564087,0.00723277498036623,0.06504549831151962
3,0.0010000000474974513,0.20568640530109406,0.36051103472709656,0.011238286271691322,0.08663596957921982
4,0.0010000000474974513,0.17730958759784698,0.33443358540534973,0.00864316988736391,0.0745469480752945
5,0.0010000000474974513,0.1460612267255783,0.30365249514579773,0.00674804300069809,0.06441067904233932
6,0.0010000000474974513,0.11680898070335388,0.2712131142616272,0.0072887614369392395,0.06805399060249329
7,0.0010000000474974513,0.09062638133764267,0.23867926001548767,0.005190712865442038,0.05495278164744377
8,0.0010000000474974513,0.06916159391403198,0.20809657871723175,0.005166477989405394,0.05517188087105751
9,0.0010000000474974513,0.05037999153137207,0.17740993201732635,0.008300570771098137,0.07207492738962173
10,0.0010000000474974513,0.03573710843920708,0.14879964292049408,0.005469257012009621,0.05741335079073906
11,0.0010000000474974513,0.02455793507397175,0.12249874323606491,0.006204311270266771,0.05884433165192604
12,0.0010000000474974513,0.01619328185915947,0.09906262159347534,0.006195462308824062,0.058548446744680405
13,0.0010000000474974513,0.010916132479906082,0.08007661253213882,0.006378671154379845,0.0597987025976181
14,0.0010000000474974513,0.007758065592497587,0.06673086434602737,0.006294646766036749,0.06086531654000282
15,0.0010000000474974513,0.006083229091018438,0.05864373967051506,0.006169205531477928,0.06098795309662819
16,0.0010000000474974513,0.005433096084743738,0.05469309166073799,0.0059493426233530045,0.05922629311680794
17,0.0010000000474974513,0.005161087028682232,0.052956439554691315,0.006349863018840551,0.06068802997469902
18,0.0010000000474974513,0.005066062323749065,0.052109893411397934,0.0058364542201161385,0.05870770290493965
19,0.0010000000474974513,0.004825538024306297,0.05129162594676018,0.006604188121855259,0.063946932554245
20,0.0010000000474974513,0.00485817389562726,0.051190782338380814,0.005615975242108107,0.05791711062192917
21,0.0010000000474974513,0.0047104498371481895,0.05056223273277283,0.006466646213084459,0.0634072795510292
22,0.0010000000474974513,0.004691567271947861,0.05033133924007416,0.006634677294641733,0.06511453539133072
23,0.0010000000474974513,0.004536748863756657,0.04983055964112282,0.006782339420169592,0.06574008613824844
24,0.0010000000474974513,0.0046326941810548306,0.049927908927202225,0.00652305455878377,0.06346346437931061
25,0.0010000000474974513,0.004448459483683109,0.04941561073064804,0.006349283270537853,0.06345456838607788
26,0.0005000000237487257,0.004199621267616749,0.04801870882511139,0.006738315336406231,0.065355084836483
27,0.0005000000237487257,0.004185961093753576,0.04767089709639549,0.007327849045395851,0.06888408958911896
28,0.0005000000237487257,0.0041679805144667625,0.04756612330675125,0.0066229370422661304,0.06413052976131439
29,0.0005000000237487257,0.004108235239982605,0.047419577836990356,0.00737584475427866,0.06931859254837036
30,0.0005000000237487257,0.004142196383327246,0.04739046469330788,0.006446115206927061,0.0634247288107872
31,0.0005000000237487257,0.004110309761017561,0.04721160605549812,0.006121164187788963,0.062010154128074646
32,0.0005000000237487257,0.00412611523643136,0.047149110585451126,0.0070386179722845554,0.06724487245082855
33,0.0005000000237487257,0.004040006082504988,0.04696544259786606,0.007031434215605259,0.06695417314767838
34,0.0005000000237487257,0.0040102144703269005,0.04688893258571625,0.006824445445090532,0.06638529896736145
35,0.0005000000237487257,0.004083060659468174,0.046959422528743744,0.006974260788410902,0.0673769935965538
36,0.0005000000237487257,0.003937393892556429,0.04661919176578522,0.006902751512825489,0.06632156670093536
37,0.0005000000237487257,0.00404606806114316,0.04670322686433792,0.0072012427262961864,0.06826559454202652
38,0.0005000000237487257,0.003950865473598242,0.04655896872282028,0.00681956997141242,0.066006600856781
39,0.0005000000237487257,0.003993569873273373,0.046590596437454224,0.006413267459720373,0.06356716901063919
40,0.0005000000237487257,0.003975910600274801,0.04651627317070961,0.00644633499905467,0.0638330802321434
41,0.0005000000237487257,0.0039155432023108006,0.046431511640548706,0.006214136723428965,0.06202845647931099
42,0.0005000000237487257,0.003905646735802293,0.04637007415294647,0.006843077018857002,0.06618208438158035
43,0.0005000000237487257,0.003990387078374624,0.046443451195955276,0.007152479607611895,0.06705489754676819
44,0.0002500000118743628,0.003830669214949012,0.04560214653611183,0.00611630454659462,0.06173278018832207
45,0.0002500000118743628,0.0037797249387949705,0.045379944145679474,0.006566132418811321,0.06459851562976837
46,0.0002500000118743628,0.00378017476759851,0.045467671006917953,0.0065637934021651745,0.06426063179969788
47,0.0002500000118743628,0.0037985399831086397,0.045379068702459335,0.006629497278481722,0.06466958671808243
48,0.0002500000118743628,0.0036961790174245834,0.04523428902029991,0.006361084058880806,0.06294605880975723
49,0.0002500000118743628,0.003712079022079706,0.045240432024002075,0.0063508846797049046,0.06258286535739899
50,0.0002500000118743628,0.003679080167785287,0.04515558108687401,0.006484882906079292,0.06340283900499344
51,0.0002500000118743628,0.003754992503672838,0.04516422003507614,0.006188936065882444,0.06218232586979866
52,0.0002500000118743628,0.0036944744642823935,0.04512501507997513,0.0065111578442156315,0.06403610855340958
53,0.0002500000118743628,0.003715015947818756,0.045111194252967834,0.006568460259586573,0.06459686160087585
54,0.0002500000118743628,0.0036962961312383413,0.04504753649234772,0.006517697591334581,0.06412511318922043
55,0.0002500000118743628,0.0036690004635602236,0.04502708464860916,0.006235302891582251,0.062334172427654266
56,0.0002500000118743628,0.0036365711130201817,0.04492374137043953,0.006380830425769091,0.06308955699205399
57,0.0002500000118743628,0.0036878411192446947,0.044977281242609024,0.006654116325080395,0.06471468508243561
58,0.0002500000118743628,0.003635009750723839,0.044909004122018814,0.00641403254121542,0.0630025863647461
