epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,1.3594657182693481,0.7960361242294312,0.11428835988044739,0.3253979980945587
1,0.0010000000474974513,0.4430180490016937,0.5281244516372681,0.014782799407839775,0.10032617300748825
2,0.0010000000474974513,0.29652249813079834,0.43158507347106934,0.01507346611469984,0.1022588312625885
3,0.0010000000474974513,0.23284485936164856,0.3829304277896881,0.007686777506023645,0.06637369096279144
4,0.0010000000474974513,0.19769610464572906,0.35268187522888184,0.006115483585745096,0.060901522636413574
5,0.0010000000474974513,0.16104000806808472,0.31812554597854614,0.0068155028857290745,0.06491472572088242
6,0.0010000000474974513,0.1256955862045288,0.28084418177604675,0.008248019963502884,0.07164513319730759
7,0.0010000000474974513,0.09463449567556381,0.2434711456298828,0.005430544726550579,0.056732501834630966
8,0.0010000000474974513,0.06865686923265457,0.2071569412946701,0.005831621587276459,0.05959077179431915
9,0.0010000000474974513,0.047627296298742294,0.17190052568912506,0.005403587594628334,0.056840844452381134
10,0.0010000000474974513,0.03158924728631973,0.1393418163061142,0.0077812098897993565,0.06943351775407791
11,0.0010000000474974513,0.020201096311211586,0.11067549139261246,0.007448562420904636,0.06742563098669052
12,0.0010000000474974513,0.01301233284175396,0.08737468719482422,0.007492637261748314,0.06685086339712143
13,0.0010000000474974513,0.008611580356955528,0.07059764862060547,0.00818169116973877,0.07003936171531677
14,0.0010000000474974513,0.00657701725140214,0.060373611748218536,0.0071996538899838924,0.06566324084997177
15,0.0010000000474974513,0.005414717830717564,0.05481385439634323,0.007561051286756992,0.06812068074941635
16,0.0010000000474974513,0.005124669522047043,0.0525989793241024,0.007073035463690758,0.06558603793382645
17,0.0010000000474974513,0.004888793453574181,0.05142945796251297,0.007629031781107187,0.06857223808765411
18,0.0010000000474974513,0.004817035980522633,0.05104251578450203,0.007121742703020573,0.06617623567581177
19,0.0010000000474974513,0.004685358144342899,0.05027197301387787,0.008191011846065521,0.07242517918348312
20,0.0010000000474974513,0.00462415162473917,0.04974951595067978,0.008554806001484394,0.07476726919412613
21,0.0010000000474974513,0.004571825265884399,0.04964964836835861,0.007748816162347794,0.0701243057847023
22,0.0010000000474974513,0.004412969574332237,0.049162689596414566,0.007625432685017586,0.0696517676115036
23,0.0010000000474974513,0.0043685557320714,0.04877243936061859,0.008200573734939098,0.07319393754005432
24,0.0010000000474974513,0.0043509905226528645,0.04859279841184616,0.008181530050933361,0.07354285567998886
25,0.0010000000474974513,0.004420850891619921,0.04855741932988167,0.009042171761393547,0.07852828502655029
26,0.0005000000237487257,0.004037100821733475,0.04704466834664345,0.008493934758007526,0.07556106895208359
27,0.0005000000237487257,0.003998029977083206,0.04675951972603798,0.00781526230275631,0.07171308249235153
28,0.0005000000237487257,0.003946936689317226,0.04656583070755005,0.007723047863692045,0.07081886380910873
29,0.0005000000237487257,0.003985133487731218,0.04643779247999191,0.007437694817781448,0.06854579597711563
30,0.0005000000237487257,0.0039264908991754055,0.04633145406842232,0.008467544801533222,0.07458395510911942
31,0.0005000000237487257,0.0038563739508390427,0.046129729598760605,0.008622447028756142,0.07596541196107864
32,0.0005000000237487257,0.003858285490423441,0.04610268771648407,0.00721451360732317,0.0668347030878067
33,0.0005000000237487257,0.0038599707186222076,0.04601498693227768,0.007795821875333786,0.07156237959861755
34,0.0005000000237487257,0.0038223639130592346,0.045906662940979004,0.007056198548525572,0.06693059206008911
35,0.0005000000237487257,0.0037956496234983206,0.045811522752046585,0.0074329073540866375,0.06872303783893585
36,0.0005000000237487257,0.0038352443370968103,0.04586431011557579,0.007624092046171427,0.07027427107095718
37,0.0005000000237487257,0.0037732399068772793,0.04565022513270378,0.007880487479269505,0.07188115268945694
38,0.0005000000237487257,0.003757740370929241,0.045583829283714294,0.006860263179987669,0.06558730453252792
39,0.0005000000237487257,0.0038229406345635653,0.045698653906583786,0.007740704342722893,0.07100655138492584
40,0.0005000000237487257,0.003802652470767498,0.0456472784280777,0.007493150420486927,0.06882303953170776
41,0.0005000000237487257,0.0037797188851982355,0.04546641185879707,0.00819204282015562,0.07348999381065369
42,0.0005000000237487257,0.003687588032335043,0.0453716404736042,0.008061505854129791,0.07269065082073212
43,0.0005000000237487257,0.003733422141522169,0.04543610289692879,0.0076360260136425495,0.07062653452157974
44,0.0002500000118743628,0.0035926776472479105,0.04465142637491226,0.007907997816801071,0.07166280597448349
45,0.0002500000118743628,0.003620229894295335,0.04460548609495163,0.007429840508848429,0.06939021497964859
46,0.0002500000118743628,0.0035645938478410244,0.04445766285061836,0.007650855462998152,0.07009715586900711
47,0.0002500000118743628,0.0035738672595471144,0.044482193887233734,0.007095998153090477,0.0668983981013298
48,0.0002500000118743628,0.00353387463837862,0.044363152235746384,0.007143754046410322,0.06668645888566971
49,0.0002500000118743628,0.0035517739597707987,0.044335007667541504,0.00814572349190712,0.07302678376436234
50,0.0002500000118743628,0.003543434664607048,0.04433392360806465,0.007410136051476002,0.06825985014438629
51,0.0002500000118743628,0.003532792441546917,0.04427049681544304,0.007405487820506096,0.06874708086252213
52,0.0002500000118743628,0.0035373715218156576,0.0442814975976944,0.007404267322272062,0.0681915357708931
