arquitectura,usar_customers,R2_total,R2_abiertas,RMSE,MAE,epocas,minutos
GRU128x64_CON,True,0.9805132150650024,0.9661874771118164,519.1997447996291,331.37066650390625,60,72.5
LSTM128x64_CON,True,0.9785317182540894,0.9627493619918823,544.9575958274185,340.7002868652344,60,66.6
GRU128_bidir_CON,True,0.9785316586494446,0.9627492427825928,544.9583412977546,333.2191467285156,59,59.8
GRU192x96_CON,True,0.9766960740089417,0.959564208984375,567.778125679389,335.9762268066406,60,110.1
GRU96x48_SIN,False,0.9361218810081482,0.889162003993988,940.0265953684502,590.8012084960938,91,72.1
GRU128x64_SIN,False,0.935382068157196,0.8878783583641052,945.4543550589843,574.225830078125,60,66.2
